stoich,algo,run_label,run_label_unified,type,path,status,slurm_job_id,energy_ev_per_atom,space_group,formula_reduced,time_taken,continuation_of
In3Ga3Zn6O15,tpe,s1,s1,short,short-runs/working-dir/In3Ga3Zn6O15/tpe-s1,no_cif,2104565,N/A,N/A,N/A,N/A,
In3Ga3Zn6O15,tpe,s2,s2,short,short-runs/working-dir/In3Ga3Zn6O15/tpe-s2,no_cif,2104566,N/A,N/A,N/A,N/A,
In3Ga7Zn2O17,pso,1,1,long,experimental-points/Ga_x/In3Ga7Zn2O17/pso,complete,1992913,-5.52891,P1 (1),Ga7In3O17Zn2,10:33:44,
In3Ga7Zn2O17,pso,2,2,long,experimental-points/Ga_x/In3Ga7Zn2O17/pso-2,complete,1992914,-5.52568,P1 (1),Ga7In3O17Zn2,7:27:17,
In3Ga7Zn2O17,rand,1,1,long,experimental-points/Ga_x/In3Ga7Zn2O17/rand,complete,1992911,-5.58226,P1 (1),Ga7In3O17Zn2,10:00:31,
In3Ga7Zn2O17,rand,2,2,long,experimental-points/Ga_x/In3Ga7Zn2O17/rand-2,complete,1992912,-5.58307,P1 (1),Ga7In3O17Zn2,10:27:18,
In3Ga7Zn2O17,tpe,1,1,long,experimental-points/Ga_x/In3Ga7Zn2O17/tpe,complete,1992909,-5.59597,Cm (8),Ga7In3O17Zn2,14:33:39,
In3Ga7Zn2O17,tpe,2,2,long,experimental-points/Ga_x/In3Ga7Zn2O17/tpe-2,complete,2014581,-5.59171,P1 (1),Ga7In3O17Zn2,11:44:30,
In4Ga2Zn2O11,pso,1,1,long,experimental-points/Zn_x/In4Ga2Zn2O11/pso,complete,1992938,-5.39093,Pm (6),Ga2In4O11Zn2,5:41:48,
In4Ga2Zn2O11,pso,2,2,long,experimental-points/Zn_x/In4Ga2Zn2O11/pso-2,complete,1992939,-5.36739,Pm (6),Ga2In4O11Zn2,11:57:02,
In4Ga2Zn2O11,rand,1,1,long,experimental-points/Zn_x/In4Ga2Zn2O11/rand,complete,1992936,-5.3585,P1 (1),Ga2In4O11Zn2,6:29:21,
In4Ga2Zn2O11,rand,2,2,long,experimental-points/Zn_x/In4Ga2Zn2O11/rand-2,complete,1992937,-5.37314,Pm (6),Ga2In4O11Zn2,10:22:16,
In4Ga2Zn2O11,tpe,1,1,long,experimental-points/Zn_x/In4Ga2Zn2O11/tpe,complete,1992934,-5.3267,P1 (1),Ga2In4O11Zn2,4:55:52,
In4Ga2Zn2O11,tpe,2,2,long,experimental-points/Zn_x/In4Ga2Zn2O11/tpe-2,complete,1992935,-5.3267,P1 (1),Ga2In4O11Zn2,5:44:08,
In4Ga2ZnO10,pso,1,1,long,experimental-points/In_x/In4Ga2ZnO10/pso,complete,1982066,-5.48423,Cm (8),Ga2In4O10Zn,6:11:31,
In4Ga2ZnO10,pso,1,2,long,phase-diagram/vertical-line/In4Ga2ZnO10/pso,complete,1992841,-5.46071,P1 (1),Ga2In4O10Zn,13:03:20,
